2023-02-21 14:05:19,848 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer(initialize:108) - Tomcat initialized with port(s): 8080 (http)
2023-02-21 14:05:19,948 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext(prepareWebApplicationContext:292) - Root WebApplicationContext: initialization completed in 1142 ms
2023-02-21 14:05:20,071 [restartedMain] INFO  org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration(logDataSources:98) - H2 console available at '/h2-console'. Database available at 'jdbc:h2:~/test'
2023-02-21 14:05:20,857 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean(buildNativeEntityManagerFactory:437) - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-02-21 14:05:21,208 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:55) - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@252804c6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@45783f5c, org.springframework.security.web.context.SecurityContextPersistenceFilter@67839cb8, org.springframework.security.web.header.HeaderWriterFilter@3a63afb9, org.springframework.security.web.authentication.logout.LogoutFilter@3a9bc7ef, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@64bb3ef2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@421ff99b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57ed804b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fc1eaac, org.springframework.security.web.session.SessionManagementFilter@1ee84955, org.springframework.security.web.access.ExceptionTranslationFilter@4b101a9f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36c70818]
2023-02-21 14:05:21,213 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/css/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:21,214 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/css/**']
2023-02-21 14:05:21,214 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/js/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:21,214 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/js/**']
2023-02-21 14:05:21,214 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/img/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-02-21 14:05:21,214 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain(<init>:52) - Will not secure Ant [pattern='/img/**']
2023-02-21 14:05:21,214 [restartedMain] WARN  org.springframework.security.config.annotation.web.builders.WebSecurity(performBuild:305) - You are asking Spring Security to ignore Ant [pattern='/font/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
